date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:07	132/132	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Mon,%2029%20Jun%202026%2014:44:06%20GMT	https://www.adhamdannaway.com/robots.txt		(from )
15:44:09	38536/38536	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202026%2014:44:09%20GMT	https://www.adhamdannaway.com/	www.adhamdannaway.com/index.html	(from )
15:44:10	70719/70719	---MCZ	200	added ('OK')	text/css	etag:W/%226a38c02c-1143f%22	https://www.adhamdannaway.com/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-css-53d44b73f71bfadc5ddac5c92ff53f43.css	www.adhamdannaway.com/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-css-53d44b73f71bfadc5ddac5c92ff53f43.css	(from https://www.adhamdannaway.com/)
15:44:11	14815/14815	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263905b4d-39df%22	https://www.adhamdannaway.com/wp-content/themes/dannaway/js/modernizr-2.5.3-min.js	www.adhamdannaway.com/wp-content/themes/dannaway/js/modernizr-2.5.3-min.js	(from https://www.adhamdannaway.com/)
15:44:11	894/894	---M--	200	added ('OK')	image/x-icon	etag:%2263912b96-37e%22	https://www.adhamdannaway.com/favicon.ico	www.adhamdannaway.com/favicon.ico	(from https://www.adhamdannaway.com/)
15:44:16	2690/2690	---MCZ	200	added ('OK')	text/xml	date:Mon,%2029%20Jun%202026%2014:44:15%20GMT	https://www.adhamdannaway.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.adhamdannaway.com%2F&format=xml	www.adhamdannaway.com/wp-json/oembed/1.0/embedaef3	(from https://www.adhamdannaway.com/)
15:44:18	10813/10813	---MCZ	200	added ('OK')	application/json	date:Mon,%2029%20Jun%202026%2014:44:18%20GMT	https://www.adhamdannaway.com/wp-json/wp/v2/pages/13	www.adhamdannaway.com/wp-json/wp/v2/pages/13.json	(from https://www.adhamdannaway.com/)
15:44:21	38942/38942	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202026%2014:44:21%20GMT	https://www.adhamdannaway.com/learn-ui-design	www.adhamdannaway.com/learn-ui-design.html	(from https://www.adhamdannaway.com/)
15:44:23	48622/48622	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202026%2014:44:23%20GMT	https://www.adhamdannaway.com/portfolio	www.adhamdannaway.com/portfolio.html	(from https://www.adhamdannaway.com/)
15:44:25	46758/46758	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202026%2014:44:24%20GMT	https://www.adhamdannaway.com/blog	www.adhamdannaway.com/blog.html	(from https://www.adhamdannaway.com/)
15:44:26	36849/36849	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202026%2014:44:26%20GMT	https://www.adhamdannaway.com/contact	www.adhamdannaway.com/contact.html	(from https://www.adhamdannaway.com/)
