date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:37:19	132/132	---MCZ	200	added ('OK')	text/plain	date:Mon,%2029%20Jun%202026%2014:37:19%20GMT	https://www.adhamdannaway.com/robots.txt		(from )
15:37:20	38536/38536	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202026%2014:37:20%20GMT	https://www.adhamdannaway.com/	./reference-1/www.adhamdannaway.com/index.html	(from )
15:37:22	70719/70719	---MCZ	200	added ('OK')	text/css	etag:W/%226a38c02c-1143f%22	https://www.adhamdannaway.com/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-css-53d44b73f71bfadc5ddac5c92ff53f43.css	./reference-1/www.adhamdannaway.com/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-css-53d44b73f71bfadc5ddac5c92ff53f43.css	(from https://www.adhamdannaway.com/)
15:37:22	14815/14815	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263905b4d-39df%22	https://www.adhamdannaway.com/wp-content/themes/dannaway/js/modernizr-2.5.3-min.js	./reference-1/www.adhamdannaway.com/wp-content/themes/dannaway/js/modernizr-2.5.3-min.js	(from https://www.adhamdannaway.com/)
15:37:23	894/894	---M--	200	added ('OK')	image/x-icon	etag:%2263912b96-37e%22	https://www.adhamdannaway.com/favicon.ico	./reference-1/www.adhamdannaway.com/favicon.ico	(from https://www.adhamdannaway.com/)
15:37:30	2690/2690	---MCZ	200	added ('OK')	text/xml	date:Mon,%2029%20Jun%202026%2014:37:29%20GMT	https://www.adhamdannaway.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.adhamdannaway.com%2F&format=xml	./reference-1/www.adhamdannaway.com/wp-json/oembed/1.0/embedaef3	(from https://www.adhamdannaway.com/)
15:37:32	10813/10813	---MCZ	200	added ('OK')	application/json	date:Mon,%2029%20Jun%202026%2014:37:32%20GMT	https://www.adhamdannaway.com/wp-json/wp/v2/pages/13	./reference-1/www.adhamdannaway.com/wp-json/wp/v2/pages/13.json	(from https://www.adhamdannaway.com/)
15:37:32	281069/281069	---MCZ	200	added ('OK')	application/json	date:Mon,%2029%20Jun%202026%2014:37:32%20GMT	https://www.adhamdannaway.com/wp-json/	./reference-1/www.adhamdannaway.com/wp-json/index.html	(from https://www.adhamdannaway.com/)
15:37:36	48622/48622	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202026%2014:37:36%20GMT	https://www.adhamdannaway.com/portfolio	./reference-1/www.adhamdannaway.com/portfolio.html	(from https://www.adhamdannaway.com/)
15:37:38	46758/46758	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202026%2014:37:38%20GMT	https://www.adhamdannaway.com/blog	./reference-1/www.adhamdannaway.com/blog.html	(from https://www.adhamdannaway.com/)
15:37:40	36849/36849	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202026%2014:37:40%20GMT	https://www.adhamdannaway.com/contact	./reference-1/www.adhamdannaway.com/contact.html	(from https://www.adhamdannaway.com/)
15:37:41	58395/58395	---M--	200	added ('OK')	image/jpeg	etag:%2263905b4d-e41b%22	https://www.adhamdannaway.com/wp-content/themes/dannaway/images/adham-dannaway-designer-coder.jpg	./reference-1/www.adhamdannaway.com/wp-content/themes/dannaway/images/adham-dannaway-designer-coder.jpg	(from https://www.adhamdannaway.com/)
15:37:45	47577/47577	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202026%2014:37:44%20GMT	https://www.adhamdannaway.com/portfolio/figma-design-system	./reference-1/www.adhamdannaway.com/portfolio/figma-design-system.html	(from https://www.adhamdannaway.com/)
15:37:46	11638/11638	---M--	200	added ('OK')	image/webp	etag:%22682db5bb-2d76%22	https://www.adhamdannaway.com/wp-content/uploads/2025/05/feature-figma-design-system.webp	./reference-1/www.adhamdannaway.com/wp-content/uploads/2025/05/feature-figma-design-system.webp	(from https://www.adhamdannaway.com/)
15:37:48	46845/46845	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202026%2014:37:47%20GMT	https://www.adhamdannaway.com/portfolio/ui-design-book	./reference-1/www.adhamdannaway.com/portfolio/ui-design-book.html	(from https://www.adhamdannaway.com/)
15:37:50	16596/16596	---M--	200	added ('OK')	image/webp	etag:%22682eab2d-40d4%22	https://www.adhamdannaway.com/wp-content/uploads/2022/12/feature-ui-design-book.webp	./reference-1/www.adhamdannaway.com/wp-content/uploads/2022/12/feature-ui-design-book.webp	(from https://www.adhamdannaway.com/)
15:37:58	51638/51638	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202026%2014:37:54%20GMT	https://www.adhamdannaway.com/portfolio/creating-a-lean-design-system	./reference-1/www.adhamdannaway.com/portfolio/creating-a-lean-design-system.html	(from https://www.adhamdannaway.com/)
15:38:02	36325/36325	---M--	200	added ('OK')	image/jpeg	etag:%2263905b89-8de5%22	https://www.adhamdannaway.com/wp-content/uploads/2020/08/feature-william-hill-design-system.jpg	./reference-1/www.adhamdannaway.com/wp-content/uploads/2020/08/feature-william-hill-design-system.jpg	(from https://www.adhamdannaway.com/)
15:38:05	5015/5015	---MCZ	200	added ('OK')	application/javascript	etag:W/%226a0f6f5f-1397%22	https://www.adhamdannaway.com/wp-includes/js/dist/hooks.min.js?ver=7496969728ca0f95732d	./reference-1/www.adhamdannaway.com/wp-includes/js/dist/hooks.min394d.js	(from https://www.adhamdannaway.com/)
15:38:05	5697/5697	---MCZ	200	added ('OK')	application/javascript	etag:W/%226a0f6f5f-1641%22	https://www.adhamdannaway.com/wp-includes/js/dist/i18n.min.js?ver=781d11515ad3d91786ec	./reference-1/www.adhamdannaway.com/wp-includes/js/dist/i18n.mineca5.js	(from https://www.adhamdannaway.com/)
15:38:05	12359/12359	---MCZ	200	added ('OK')	application/javascript	etag:W/%226a06cccc-3047%22	https://www.adhamdannaway.com/wp-content/uploads/siteground-optimizer-assets/swv.min.js?ver=6.1.6	./reference-1/www.adhamdannaway.com/wp-content/uploads/siteground-optimizer-assets/swv.minc098.js	(from https://www.adhamdannaway.com/)
15:38:07	13281/13281	---MCZ	200	added ('OK')	application/javascript	etag:W/%226a06cccc-33e1%22	https://www.adhamdannaway.com/wp-content/uploads/siteground-optimizer-assets/contact-form-7.min.js?ver=6.1.6	./reference-1/www.adhamdannaway.com/wp-content/uploads/siteground-optimizer-assets/contact-form-7.minc098.js	(from https://www.adhamdannaway.com/)
15:38:08	34778/34778	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202026%2014:38:08%20GMT	https://www.adhamdannaway.com/js/jquery-1.7.2.min.js	./reference-1/www.adhamdannaway.com/js/jquery-1.7.2.min.js	(from https://www.adhamdannaway.com/)
15:38:08	10662/10662	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263905b4d-29a6%22	https://www.adhamdannaway.com/wp-content/themes/dannaway/js/clipboard.js-master/dist/clipboard.min.js	./reference-1/www.adhamdannaway.com/wp-content/themes/dannaway/js/clipboard.js-master/dist/clipboard.min.js	(from https://www.adhamdannaway.com/)
15:38:10	48283/48283	---MCZ	200	added ('OK')	application/javascript	etag:W/%22672d8157-bc9b%22	https://www.adhamdannaway.com/wp-content/themes/dannaway/js/script.js	./reference-1/www.adhamdannaway.com/wp-content/themes/dannaway/js/script.js	(from https://www.adhamdannaway.com/)
